REGION I,PANGASINAN,SANTA BARBARA,PRIMICIAS (VENTINILLA WEST),55380056,19,35,14,224,104,16,493,440,"0133A, 0133B, 0133C, 0134A",PRIMICIAS ELEM. SCHOOL,05/09/2016 23:18:40
REGION I,PANGASINAN,BURGOS,SAN PASCUAL,55160018,13,17,3,218,46,11,409,326,"0042A, 0042B, 0043A",PAPALLASEN ELEMENTARY SCHOOL,05/09/2016 19:15:06
REGION I,PANGASINAN,DAGUPAN CITY,BONUAN BOQUIG,55180041,21,41,5,235,160,8,583,483,"0097A, 0097B, 0098A, 0098B",BONUAN BOQUIG ELEM. SCHOOL,05/09/2016 18:55:54
REGION I,PANGASINAN,SUAL,PAITAN WEST,55420028,18,55,5,399,90,15,719,619,"0054A, 0055A, 0056A, 0057A",PAITAN ELEMENTARY SCHOOL,05/09/2016 18:46:15
REGION I,PANGASINAN,SAN CARLOS CITY,MATAGDEM,55320114,17,65,2,225,106,17,534,462,"0225A, 0225B, 0226A",DOYONG ELEMENTARY SCHOOL,05/09/2016 19:17:52
REGION I,PANGASINAN,SAN CARLOS CITY,LUCBAN (POB.),55320008,30,113,4,280,127,14,740,587,"0015A, 0015B, 0016A, 0016B",CENTRAL II ELEMENTARY SCHOOL,05/09/2016 18:35:24
REGION I,PANGASINAN,MANGATAREM,MALUNEC,55270062,5,12,1,98,62,7,220,189,"0114A, 0114B",MALUNEC BARANGAY HALL,05/09/2016 18:40:30
REGION I,PANGASINAN,MANGATAREM,CATURAY NORTE,55270044,22,62,8,125,127,14,490,406,"0078A, 0078B, 0079A, 0079B",CATURAY ELEMENTARY SCHOOL,05/09/2016 18:38:35
REGION I,PANGASINAN,POZORRUBIO,SUGCONG,55300062,12,12,4,391,19,7,540,466,"0155A, 0155B, 0156A, 0156B, 0157B, 0158B",SUGCONG ELEM. SCHOOL,05/09/2016 20:41:46
REGION I,PANGASINAN,BINALONAN,POBLACION,55120001,21,37,11,464,90,8,800,652,"0001A, 0001B, 0002A, 0002B, 0020A, 0021A",NORTH CENTRAL SCHOOL,05/09/2016 17:36:46
REGION I,PANGASINAN,URBIZTONDO,REAL,55450043,29,84,11,169,137,13,563,480,"0108A, 0109A, 0109B",REAL ELEMENTARY SCHOOL,05/10/2016 3:52:28
REGION I,PANGASINAN,LINGAYEN,NAGUELGUEL,55220066,13,50,8,229,144,10,541,468,"0132A, 0132B, 0133A",NAGUELGUEL ELEMENTARY SCHOOL,05/09/2016 19:17:59
REGION I,PANGASINAN,LINGAYEN,POBLACION,55220004,24,32,4,273,147,11,598,507,"0005A, 0005B, 0007A, 0007B",PADILLA ELEMENTARY SCHOOL,05/09/2016 18:29:16
REGION I,PANGASINAN,BAUTISTA,VILLANUEVA,55100032,6,57,12,495,56,9,766,666,"0078A, 0079A, 0080A, 0081A, 0082A",VILLANUEVA ELEMENTARY SCHOOL,05/09/2016 22:07:50
REGION I,PANGASINAN,SAN NICOLAS,CALAOCAN,55360011,10,23,7,534,58,11,777,685,"0028A, 0029A, 0030A, 0031A",CALAOCAN ELEMENTARY SCHOOL,05/10/2016 0:51:57
